epoka 477/1000   błąd=0.103875 
epoka 478/1000   błąd=0.102740 
epoka 479/1000   błąd=0.101525 
epoka 480/1000   błąd=0.100264 
epoka 481/1000   błąd=0.098987 
epoka 482/1000   błąd=0.097719 
epoka 483/1000   błąd=0.096474 
epoka 484/1000   błąd=0.095256 
epoka 485/1000   błąd=0.094056 
epoka 486/1000   błąd=0.092824 
epoka 487/1000   błąd=0.091403 
epoka 488/1000   błąd=0.088983 
epoka 489/1000   błąd=0.086142 
epoka 490/1000   błąd=0.083514 
epoka 491/1000   błąd=0.081054 
epoka 492/1000   błąd=0.079227 
epoka 493/1000   błąd=0.077825 
epoka 494/1000   błąd=0.076693 
epoka 495/1000   błąd=0.075742 
epoka 496/1000   błąd=0.074915 
epoka 497/1000   błąd=0.074178 
epoka 498/1000   błąd=0.073509 
epoka 499/1000   błąd=0.072893 
epoka 500/1000   błąd=0.072318 
epoka 501/1000   błąd=0.071779 
epoka 502/1000   błąd=0.071268 
epoka 503/1000   błąd=0.070783 
epoka 504/1000   błąd=0.070319 
epoka 505/1000   błąd=0.069874 
epoka 506/1000   błąd=0.069448 
epoka 507/1000   błąd=0.069039 
epoka 508/1000   błąd=0.068647 
epoka 509/1000   błąd=0.068273 
epoka 510/1000   błąd=0.067916 
epoka 511/1000   błąd=0.067577 
epoka 512/1000   błąd=0.067256 
epoka 513/1000   błąd=0.066952 
epoka 514/1000   błąd=0.066663 
epoka 515/1000   błąd=0.066389 
epoka 516/1000   błąd=0.066130 
epoka 517/1000   błąd=0.065884 
epoka 518/1000   błąd=0.065650 
epoka 519/1000   błąd=0.065427 
epoka 520/1000   błąd=0.065216 
epoka 521/1000   błąd=0.065014 
epoka 522/1000   błąd=0.064822 
epoka 523/1000   błąd=0.064638 
epoka 524/1000   błąd=0.064463 
epoka 525/1000   błąd=0.064295 
epoka 526/1000   błąd=0.064134 
epoka 527/1000   błąd=0.063981 
epoka 528/1000   błąd=0.063833 
epoka 529/1000   błąd=0.063692 
epoka 530/1000   błąd=0.063556 
epoka 531/1000   błąd=0.063426 
epoka 532/1000   błąd=0.063301 
epoka 533/1000   błąd=0.063181 
epoka 534/1000   błąd=0.063065 
epoka 535/1000   błąd=0.062953 
epoka 536/1000   błąd=0.062846 
epoka 537/1000   błąd=0.062742 
epoka 538/1000   błąd=0.062642 
epoka 539/1000   błąd=0.062546 
epoka 540/1000   błąd=0.062453 
epoka 541/1000   błąd=0.062363 
epoka 542/1000   błąd=0.062276 
epoka 543/1000   błąd=0.062192 
epoka 544/1000   błąd=0.062110 
epoka 545/1000   błąd=0.062031 
epoka 546/1000   błąd=0.061955 
epoka 547/1000   błąd=0.061881 
epoka 548/1000   błąd=0.061810 
epoka 549/1000   błąd=0.061740 
epoka 550/1000   błąd=0.061673 
epoka 551/1000   błąd=0.061607 
epoka 552/1000   błąd=0.061544 
epoka 553/1000   błąd=0.061482 
epoka 554/1000   błąd=0.061422 
epoka 555/1000   błąd=0.061363 
epoka 556/1000   błąd=0.061306 
epoka 557/1000   błąd=0.061251 
epoka 558/1000   błąd=0.061197 
epoka 559/1000   błąd=0.061145 
epoka 560/1000   błąd=0.061093 
epoka 561/1000   błąd=0.061043 
epoka 562/1000   błąd=0.060995 
epoka 563/1000   błąd=0.060947 
epoka 564/1000   błąd=0.060900 
epoka 565/1000   błąd=0.060855 
epoka 566/1000   błąd=0.060810 
epoka 567/1000   błąd=0.060767 
epoka 568/1000   błąd=0.060724 
epoka 569/1000   błąd=0.060682 
epoka 570/1000   błąd=0.060641 
epoka 571/1000   błąd=0.060601 
epoka 572/1000   błąd=0.060561 
epoka 573/1000   błąd=0.060522 
epoka 574/1000   błąd=0.060483 
epoka 575/1000   błąd=0.060446 
epoka 576/1000   błąd=0.060408 
epoka 577/1000   błąd=0.060371 
epoka 578/1000   błąd=0.060335 
epoka 579/1000   błąd=0.060298 
epoka 580/1000   błąd=0.060262 
epoka 581/1000   błąd=0.060227 
epoka 582/1000   błąd=0.060191 
epoka 583/1000   błąd=0.060156 
epoka 584/1000   błąd=0.060120 
epoka 585/1000   błąd=0.060085 
epoka 586/1000   błąd=0.060049 
epoka 587/1000   błąd=0.060013 
epoka 588/1000   błąd=0.059977 
epoka 589/1000   błąd=0.059940 
epoka 590/1000   błąd=0.059903 
epoka 591/1000   błąd=0.059866 
epoka 592/1000   błąd=0.059827 
epoka 593/1000   błąd=0.059788 
epoka 594/1000   błąd=0.059748 
epoka 595/1000   błąd=0.059706 
epoka 596/1000   błąd=0.059664 
epoka 597/1000   błąd=0.059619 
epoka 598/1000   błąd=0.059574 
epoka 599/1000   błąd=0.059526 
epoka 600/1000   błąd=0.059476 
epoka 601/1000   błąd=0.059425 
epoka 602/1000   błąd=0.059370 
epoka 603/1000   błąd=0.059313 
epoka 604/1000   błąd=0.059253 
epoka 605/1000   błąd=0.059189 
epoka 606/1000   błąd=0.059122 
epoka 607/1000   błąd=0.059051 
epoka 608/1000   błąd=0.058975 
epoka 609/1000   błąd=0.058894 
epoka 610/1000   błąd=0.058807 
